id,gender,age,location,children_in_house,highest_qualification,employment,housework_week,interest_sustainability,sustainability_daily_think,primary_driver_sustainable_activities,insterest_sustainability_origin,sustainability_important,sustainability_barrier,energy_action,energy_action_often,energy_action_comment,water_action,water_action_often,water_action_comment,food_action,food_action_often,food_action_comment,waste_action,waste_action_often,waste_action_comment,other_action,other_action_often,other_action_comment,gender_thoughts
85,Female,21-29,"Peebles, UK",0,Post-graduate degree,"Employed, working part-time",1-3 hours,Yes,Sometimes,"No, my partner and I are equally involved in sustainable activities",My parents raised me that way. ,"Energy. Wastefulness in both food & packaging, recycling. Reducing plastics as much as possible. Using less chemicals to clean. ",Opportunities to recycle. Lazy attitude sometimes & lack of local produce ,BCDGH,Often,NA,NA,Rarely,I think very little about water sustainability. Maybe that's because living in Scotland it has never been in short supply! ,ABCD,Often,NA,ABCDEFG,Often,NA,AB,Sometimes,NA,NA
86,Male,50-59,"Preston, UK",0,Bachelor degree,"Not employed, looking for work",10+ hours,Yes,Sometimes,"No, my partner and I are equally involved in sustainable activities",Environmental and economic reasons,"Food, recycling",Cost of adapting the home,BCEFGH,All the time,All the cetegories ticked are implemented on a daily basis and are standard practice in our household,BCH,Sometimes,In the northwest of England there is no shortage of rain water. Perfectly good reservoirs were closed down some years ago to maximise profits for shareholders. With our annual rainfall and low temperatures there should never be a water shortage in Lancashire.,AD,All the time,"As a household we eat plenty of meat and dairy. Lancashire is a centre for high quality dairy production, so it is local. We have very little food waste, maybe £1 a week maximum. I grow some vegetables in summer in a small veg patch",ABDEF,All the time,Compost for the veg patch. Recycle everything the council will take ( they won't take many of the plastics). Re-use containers to save money.,C,Sometimes,Spider plants. Opening windows,"I think men are just as likely to be aware of sustainability as women, as both like to save money. The main factor regarding gender is that the person who is at home more than the other tends be more aware of sustainability and this still tends to be the woman, but not in our house!"
87,Female,40-49,"Preston, UK",1,Bachelor degree,"Employed, working part-time",1-3 hours,Yes,Sometimes,"No, my partner and I are equally involved in sustainable activities",Climate change,Energy saving and waste,Local council services cut because of lack of government funding,BDEFGH,Often,NA,AB,Sometimes,NA,D,Often,NA,ABDE,Often,NA,BC,Often,NA,NA
88,Female,21-29,"London, UK",0,Post-graduate degree,"Employed, working full-time",4-6 hours,Yes,Often,"No, my partner and I are equally involved in sustainable activities","climate change, animal cruelty","food, waste, water",convenience,BDEFGH,Sometimes,NA,AG,Sometimes,NA,BCD,Often,NA,ABCDEG,Often,NA,AB,Sometimes,NA,"I don't think there is a strong causal link between gender and sustainability in the home. Anecdotal evidence might suggest though that women are more caring of other living beings and therefore more likely to reduce meat/dairy consumption, and more health conscious and therefore using organical or natural household products. "
89,Male,21-29,"Longyearbyen, Svalbard ",0,Post-graduate degree,"Employed, working full-time",4-6 hours,Yes,Sometimes,"Yes, I encourage the other members of my house to be more sustainable in their actions.",Taking accountability for my own actions ,Waste and energy ,Cost. Few options for recycling and sustainable food here,DFEG,Often,NA,A,Sometimes,"Very few options for water sustainability here. No dishwasher, too cold and dark for water buckets and solar panels ",BD,Often,NA,BCDEF,Often,"Hard to buy items without lots of (plastic) packaging. Recycle what we can, but few options here",A,Never,NA,Doesn't appear to be a factor in this household
90,Female,21-29,"Edinburgh, UK",0,Post-graduate degree,Student,4-6 hours,Yes,Sometimes,"Yes, I encourage the other members of my house to be more sustainable in their actions.","The environment I grew up in (friends, family, school) as well as my university degree encouraged me to think about the sustainability of my actions and strive to be more sustainable. ",Food and waste,"I would say money and time, as ethical/eco-friendly products are often expensive or not available everywhere. ",DEG,Sometimes,"As I live in rented accommodation, I don't have a choice in energy provider or whether the house is insulated or not. I also don't have a dishwasher or tumble dryer. Most appliances came as part of the flat, but I try to buy energy efficient lightbulbs and turn off sockets when not in use. ",AG,Often,"As above, I live in rented accommodation and can't make decisions on the type of shower head, tap etc. I also don't have a garden. ",BCD,Sometimes,NA,ABCDEFG,All the time,The amount of recycling I do is limited by the availability of recycling bins (e.g. the area I lived in for the past few years didn't have a food recycling bin). ,ABC,Sometimes,"For question 2, I don't often buy sustainable items as such but I'd say that I use them in a sustainable way, i.e. using them for as long as possible and fixing them instead of buying replacements straight away. ","I haven't lived in a flatshare with a male before and it has only been a few weeks, so I haven't noticed any patterns I could relate to gender so far. "
91,Female,21-29,"Oxford, UK",0,Bachelor degree,Student,7-10 hours,Yes,Often,"Yes, I encourage the other members of my house to be more sustainable in their actions.",environmental concerns ,"local food, save energy","depends on what you mean by sustainability, for energy savingI live in a big old house and the landlord has not put in insulation or anything to make the house more ecofriendly ",BDEFG,Sometimes,NA,CH,Often,NA,AC,Often,"buying local food, I favor local produce over imported but do not look for organics ",ABDEFG,Often,NA,C,Often,"just curious, what unnatural methods of keeping the air clean exist ? I have house plants for decoration ",NA
92,Female,21-29,"Edinburgh, UK",0,Bachelor degree,"Employed, working part-time",4-6 hours,Yes,Often,"Yes, I encourage the other members of my house to be more sustainable in their actions.",Environment,"Food, waste, toxic products",Economic resources,BDEH,All the time,NA,GH,All the time,NA,BCD,All the time,NA,ACDEFG,All the time,NA,ABC,All the time,NA,"Based on personal experience, I don't believe gender affects sustainability, but education and background of the person does."
93,Female,50-59,"Preston, UK",2,Associates degree,"Disabled, not able to work",7-10 hours,Yes,Sometimes,"No, my partner and I are equally involved in sustainable activities",Love of this planet,Most,Teenagers and young adults not joining in,DEFGH,All the time,NA,ABCEH,Often,NA,ABCD,All the time,NA,ABCDEFG,Often,NA,BC,Often,NA,NA
94,Male,21-29,"Edinburgh, UK",0,Post-graduate degree,"Employed, working full-time",7-10 hours,Yes,Often,"Yes, I encourage the other members of my house to be more sustainable in their actions.",Through my education ,"Energy, environment, food, water",Conveniance ,ABCDEFGH,All the time,NA,BG,Sometimes,NA,BD,Sometimes,NA,ABEFG,Often,NA,ABC,All the time,NA,NA
95,Female,40-49,"Jacksonville, FL",0,Post-graduate degree,"Not employed, looking for work",4-6 hours,Yes,Sometimes,"Yes, I encourage the other members of my house to be more sustainable in their actions.",Being raised on a hippy commune,"Energy, recycling, water conservation",Lack of recycling capabilities and composte,BDEFH,Often,NA,AEGH,Often,NA,ABCD,All the time,NA,ACDEF,Often,NA,ABC,Often,NA,I think in general women are more accommodating willing to work harder to attain sustainability
96,Male,40-49,"Wilmington, NC",2,Post-graduate degree,"Employed, working full-time",4-6 hours,Yes,Often,"No, my partner and I are equally involved in sustainable activities","My daughter, Donald Turnip, getting old makes me think about my legacy","Energy, Waste, Water, and food in that order, I think",time and convenience.  A lack of time makes consumerism more easy.,BDEFGH,Often,NA,ABCE,Sometimes,NA,CD,Sometimes,NA,ADEG,Often,NA,NA,Never,NA,NA
97,Female,40-49,"Clemons, NC",1,Post-graduate degree,"Not employed, NOT looking for work",4-6 hours,Yes,Often,"No, my partner and I are equally involved in sustainable activities",Recycling is relatively easy and so few do it,"Waste, energy","$, reduced availability to recycling resources",BDGH,All the time,We try all of them. Attempted to go solar but due to trees it wasn't efficient. ,ABEH,Often,NA,ACD,Often,NA,ABDEFG,All the time,NA,AB,Sometimes,NA,NA
98,Male,40-49,"Keymar, MD",2,Bachelor degree,"Employed, working full-time",4-6 hours,Yes,Sometimes,"No, my partner and I are equally involved in sustainable activities","resources are limited, we need preserve them for future generations",energy and waste,access to renewable energy,BCDEFGH,Often,"Cost barriers/efficiency of equipment have kept us from going solar.  We recently had to replace our heat pump and spent an extra $2000 on one that was more efficient than the unit recommended by our installer.  I like washing clothes in cold water because I hate cold showers and washing machines use a lot of water.  We have 4 people in the house, the dishwasher is always full.",B,Often,"Maybe it's the lack of adequate hygiene practiced by my children, or maybe it's good practices we have had for a long time and just don't think about, but we use relatively little water (according to our water softener that has this computer thingy telling us about water usage) for a household of 4.  We rarely water outside plants except seedlings in the garden.  My children seem to live by the motto, if it's yellow, wait a week.",AC,Often,"I would have separated organic and seasonal.  I try to buy seasonal, but I actually avoid organic.  The increased cost for smaller, less healthy looking food with more bugs in it just never clicked with me.  We have a garden to grow side dishes and ugly, stunted carrots.  Mainly I'm in it for the beets and the chance to use a tiller (electric by the way.)  As far as cooking only enough..., I try to always make enough to have leftovers.  That way, with the same amount of input energy, you have multiple meals.",ABDEFG,All the time,We recycle 3-4 times the volume of things that we throw away.  I'll buy used if I don't take a quality hit.  I would rather buy really good quality and keep it forever than replace cheap items often.  I have been using the same water cup at work for the past 4 years and I don't think I've ever washed it.,AB,Often,"vinegar and water will clean almost anything.  The ultimate tragedy would be for the world to run out of chocolate or coffee, so I try to buy sustainably sourced versions of those.","I would be inclined to think that women are probably more sustainability minded, but as a man, I don't think I'm that bad at it."
99,Female,30-39,"Cathedral City, CA",3,Post-graduate degree,"Employed, working full-time",4-6 hours,Yes,Sometimes,"Yes, I encourage the other members of my house to be more sustainable in their actions.",Health,Energy waste water,Cost,BCDH,Often,Tiered rate structures encourage conservation,EGH,Often,Desert life is more accustomed to conservation as a way of life,C,Often,NA,AEG,Often,NA,A,Sometimes,NA,Do not know what gender has to do with it. How we were raised and how we are educated drives these decisions.
100,Female,40-49,"Keymar, MD",2,Post-graduate degree,"Employed, working part-time",10+ hours,Yes,Often,"No, my partner and I are equally involved in sustainable activities",My parents,Energy and waste,Not enough things are recyclable or reusable ,BDGH,Often,NA,ABDEGH,All the time,I have had well water my whole life so conserving water especially during a drought has become second nature. ,AC,Often,Love my veggie garden. But also enjoy eating leftovers for lunch.,ABDEF,Often,"While i hate excessive packaging, its not my main concern when choosing items.",ABC,Often,I often make my own cleaning products ,We both try to be more sustainable but I'm the one more interested in some of the more involved practices (vegetable garden)
101,Male,60+,"Stockholm, WI",0,Post-graduate degree,"Employed, working part-time",7-10 hours,Yes,Often,"No, my partner and I are equally involved in sustainable activities",Being an Architect,Energy ,Not making it a higher priority in my life,BCDGH,All the time,NA,ABEG,Often,NA,ABCD,Often,NA,ABCDEF,Often,Low or no packing is not possible if you buy online.,AB,Sometimes,Our cats destroy house plants,NA
102,Female,60+,"Asheville, NC",0,Some university but no degree,Retired,7-10 hours,Yes,All the time,"No, my partner and I are equally involved in sustainable activities",The desire to leave my grandchildren a better world,energy,My suburban infrustructure does not support sustainability,BCDGH,Often,NA,BCDEGH,All the time,NA,ABCD,All the time,NA,ABCDEFG,Often,NA,ABC,All the time,NA,NA
103,Female,21-29,"Edinburgh, UK",0,Post-graduate degree,Student,1-3 hours,Yes,Often,"No, my partner and I are equally involved in sustainable activities",The need to preserve resources,"Energy, recycling",Inefficient waste systems,BCH,Often,NA,G,Sometimes,NA,BD,Sometimes,NA,ABCDEF,Often,NA,B,Rarely,NA,NA
104,Female,40-49,"Wilmington, NC",3,Associates degree,"Not employed, NOT looking for work",10+ hours,Somewhat,Sometimes,"Yes, I encourage the other members of my house to be more sustainable in their actions.",Impact on environment,"Waste, food",Convenience,BDEG,Often,NA,BE,Sometimes,NA,CD,Sometimes,NA,ACDEG,Often,NA,C,Rarely,NA,NA
105,Female,21-29,"Sofia, Bulgaria",0,Bachelor degree,Student,1-3 hours,Yes,All the time,"Yes, I encourage the other members of my house to be more sustainable in their actions.",My degree and personal interest for causing less harm to the planet. ,"Food, waste, electricity ",Habits and the environment one lives in ,BDGH,All the time,NA,AEGH,Often,NA,BCD,All the time,NA,ACDEFG,All the time,NA,ABC,All the time,NA,Women tend to be naturally more interested in providing domestic sustainability.
106,Female,21-29,"Edinburgh, UK",0,Post-graduate degree,"Employed, working full-time",10+ hours,Yes,All the time,"Yes, I encourage the other members of my house to be more sustainable in their actions.",Highschool and My undergrad degree,Food,Price and space ,BDEFG,All the time,NA,AB,Often,NA,BD,Often,NA,AEG,Often,NA,C,Sometimes,NA,It is coming from children educating adults on these topics. In the work it needs to be much more proactive or have government interventions such as plastic bags 5p charge
107,Female,21-29,"Edinburgh, UK",0,Bachelor degree,"Employed, working full-time",4-6 hours,Yes,Often,"Yes, I encourage the other members of my house to be more sustainable in their actions.",An interest in nature and in the future of the planet,Waste,My routine,BDFH,All the time,NA,ABG,All the time,NA,BCD,All the time,NA,ABDE,All the time,NA,NA,Never,NA,NA
108,Female,21-29,"Edinburgh, UK",0,Post-graduate degree,"Employed, working full-time",4-6 hours,Yes,Often,"Yes, I encourage the other members of my house to be more sustainable in their actions.","I have been interested since early childhood (electricity savings, recycling, anti-pollution), and actively involved in environmentalism since my early teens, then did an environmental degree in university.","Food, marine issues, climate change",I am from Norway and have to fly whenever I go home.,DEFGH,Often,NA,BG,Rarely,"I have always lived in places with good access to water and I don't see water usage as being a very relevant issue in my household: heating of water is (showers, doing dishes), but cold tap water is not a big issue. However, for food production (other production) it absolutely is, even here. ",BCD,Often,"I am not vegetarian, but I have reduced my meat consumption a lot. I am very conscious about the food I eat, but I don't always eat as sustainably as I aspire to. ",ACDE,Often,"I am very interested in recycling, which is a lot more complex and difficult than it appears. Recycling is pretty much second nature to me - but I sometimes feel powerless as I know a lot of the waste is burned, and it makes me doubt the usefulness of recycling (this mainly relates to plastic)",BC,Sometimes,NA,I don't think it has a noticable effect in my household.
109,Female,30-39,"Edinburgh, UK",0,Bachelor degree,"Employed, working full-time",1-3 hours,Yes,All the time,"Yes, I encourage the other members of my house to be more sustainable in their actions.",Concern for the environment ,All,"Cost of food e.g. Organic,
Fresh,
Locally sourced
",DEFGH,Often,Don't heat water during summer months. Track my usage using smart meter,ACDEFGH,Often,Washing clothes only when machine is full ,ABCD,Often,Buy locally whenever possible ,ABCDEFG,Often,Buying second hand. Recycle everything at home,ABC,Often,Use eco friendly washing up liquid and laundry detergent ,"It depends on upbringing, personal concern for the environment and education level. Though I think males are less sustainability oriented "
110,Female,21-29,"London, UK",0,Bachelor degree,"Employed, working full-time",4-6 hours,Yes,Sometimes,"No, my partner and I are equally involved in sustainable activities","University degree (anthropology), reading, news and research",Food production; gardening and growing own food.,Lack of time/busyness ,ABCDEFGH,Often,NA,GH,Often,NA,ABCD,All the time,NA,ADEF,Often,NA,ABC,All the time,NA,Very equal balance in my home!
111,Female,30-39,"Edinburgh, UK",0,Bachelor degree,"Employed, working full-time",7-10 hours,Yes,Often,"Yes, I encourage the other members of my house to be more sustainable in their actions.",Common sense! ,"Primarily food (incl food waste), and energy","my unavoidable commute to work (I need to drive 30mins each way and then take the bus into town).  And sometimes, sheer laziness",BDEFH,Often,NA,ABGH,Sometimes,NA,ABCD,Often,Re: cooking enough to avoid waste - I actually cook more than we need so that we can get a second meal out of it and reduce time/energy cooking another time.,ABCDEFG,Often,NA,ABC,Often,NA,"My husband is equally enthusiastic about living sustainably but less inclined to act on his enthusiasm.  I am more likely to put changes into action.  I couldn't tell you if that's a gender difference, or more to do with having the time and energy to make changes.  He works very long hours."
112,Female,40-49,"Stockport Cheshire, UK",2,Bachelor degree,"Employed, working part-time",4-6 hours,Yes,Often,"Yes, I encourage the other members of my house to be more sustainable in their actions.",Recycling bins. Parents,Waste,Amount of Family rubbish and single-use plastics,BCDEFGH,Often,NA,H,Sometimes,NA,NA,Rarely,We try to have leftovers so they can be frozen to save cooking another day.,ABDEF,Often,NA,NA,Sometimes,NA,Gender is irrelevant
113,Female,30-39,"Dallas, TX",2,Bachelor degree,"Employed, working part-time",4-6 hours,Yes,Sometimes,"Yes, I encourage the other members of my house to be more sustainable in their actions.",Plastic bags in a large wad behind my fridge.,money,Nose Tissues,BCDEH,Sometimes,These actions are second nature,ABH,Sometimes,NA,ABCD,Sometimes,NA,ACDEFG,Often,I prefer to not send something to landfill,ABC,Sometimes,NA,I do not believe gender is a factor.  It is about priority.
114,Female,30-39,"Sutton Coldfield, UK",2,Bachelor degree,"Employed, working part-time",4-6 hours,Yes,Often,"No, my partner and I are equally involved in sustainable activities",Reading Overdressed,"Clothing, waste, food",Cost,ABCDEFGH,Often,"We rent, so can't install solar panels etc. In process of switching energy suppliers. Don't use a dishwasher.",AG,Sometimes,I don't know much about water sustainably and it's an area I need to read more about.,ABCD,Often,NA,ABCDEFG,Often,NA,ABC,Often,NA,"I don't think gender enters into it in our house, it's something we've both thought about since starting a family."
115,Female,30-39,"Warner Robins, GA",3,Some university but no degree,"Not employed, NOT looking for work",4-6 hours,Yes,Often,"Yes, I encourage the other members of my house to be more sustainable in their actions.",Started with cloth diapering my youngest,"Food, waste, skin care","Living in a community that doesn't seem to care and a mother in law who doest understand at all, brings me things I've told her we don't need bc we have found a better way",BDEFG,Often,NA,ABEH,Often,NA,ACD,All the time,NA,ADFG,All the time,NA,AB,All the time,NA,"In my case, I the female, make 90% of decisions for the home"
116,Female,21-29,"Astoria, NY ",0,Bachelor degree,"Employed, working full-time",7-10 hours,Yes,All the time,"Yes, I encourage the other members of my house to be more sustainable in their actions.","The film ""the true cost""",Waste ,Probiotics - I have to buy coconut yogurt in plastic containers 😔,BEFGH,Sometimes,NA,G,Sometimes,NA,BCD,Sometimes,NA,ABDEG,Sometimes,NA,BC,Sometimes,NA,"I don't think it affects it. Some people are interested in sustainability some are not. I have two girl roommates and one guy and one girl always lets food go bad in the fridge and the other constantly does not recycle things - I think bc she just does not want to wash them. I'm not super vocal about things, bc I think it bothers them that I am so into composting, so I don't like to draw too much attention to it"
117,Female,30-39,"Jacksonville, FL",3,Bachelor degree,"Employed, working part-time",7-10 hours,Yes,Often,"Yes, I encourage the other members of my house to be more sustainable in their actions.",To be ecosystem- and economic-friendly ,"Waste, food, consumer goods",Financial and/or time constraints ,BD,All the time,NA,AGH,Often,NA,CD,Often,NA,ABCDEFG,Often,NA,ABC,Sometimes,NA,"My husband does not actively seek solutions for increasing sustainability, but almost always embraces any changes I pursue to implement. "
118,Female,30-39,"Alvord, TX",2,Bachelor degree,"Employed, working full-time",4-6 hours,Yes,Often,"Yes, I encourage the other members of my house to be more sustainable in their actions.",Cloth diapers/allergies,Waste,Time and resources (we live in a rural area),BGH,Often,NA,DH,Sometimes,NA,AC,Often,NA,ABCDEF,All the time,NA,AC,Often,NA,NA
119,Female,21-29,"Spring branch, TX",2,Bachelor degree,"Not employed, NOT looking for work",4-6 hours,Yes,All the time,"Yes, I encourage the other members of my house to be more sustainable in their actions.",I've always been concerned about the environment ,Waste mostly,Reducing waste with kids,BCDEGH,All the time,NA,ADFGH,All the time,NA,BCD,All the time,NA,ABCDEFG,All the time,NA,ABC,All the time,NA,I personally think that women seem to be more concerned overall with sustainability
120,Female,21-29,"Paris, IL",2,High school diploma or equivalent,"Not employed, NOT looking for work",7-10 hours,Yes,Sometimes,"Yes, I encourage the other members of my house to be more sustainable in their actions.",Seeing how much we waste,"Conserving energy, recycling, composting, water, less paper products","Buying good quality materials that will last, for a reasonable price",BCEFGH,Often,NA,ABH,Often,NA,A,Sometimes,NA,CDEF,Often,NA,AC,All the time,NA,NA
121,Female,21-29,"Indianapolis, IN",1,Bachelor degree,"Employed, working full-time",7-10 hours,Yes,Sometimes,"Yes, I encourage the other members of my house to be more sustainable in their actions.",I started using cloth diapers and it introduced me to other methods of sustainable living.,Waste,My partner is not fully on board due to convenience of disposable products.,BEGH,Often,"We use energy efficient light bulbs, only run the dishwasher on full and installed a programable thermostat that saves energy during the day when we are at work.",ABCEGH,Sometimes,My husband is more interested in saving water and we have equally spearheaded the efforts in using less water.,ACD,Sometimes,"We are planting a garden every year, buy are still not producing too much, it's still a learning curve. We struggle with purchasing organic produce due to the cost. At times it is a lot more expensive and not in the budget.",CDEF,Often,We struggle in this category because my husband feels strongly about using disposable dishes due to convenience. I have spearheaded the efforts to use cloth diapers and we have used them 80% of the time with my son. I have completely switched over to cloth menstrual pads.,NA,Never,NA,I think my interest has lent itself towards sustainability inside the home while my husband's interests are focused on the yard and our home.
122,Female,30-39,"Arroyo Grande, CA",2,Associates degree,"Not employed, NOT looking for work",7-10 hours,Yes,Sometimes,"No, my partner and I are equally involved in sustainable activities","It's a better choice for our planet, our children and our budget ","I don't understand the intent of this question. Do you mean which areas of impact am I most concerned about maintaining sustainable practices? I suppose all of them to an extent, but energy and food are probably highest on the list. ",Convenience is still a really big draw for a busy family with two children. And things that are convenient are typically the least sustainable option,BGH,Often,NA,ADEH,Often,NA,AC,All the time,NA,ABCDEFG,All the time,NA,AB,Often,NA,"I am currently a stay at home mom which is why  the driving force behind most of this. My husband has interest but not much time or energy to actually put things into practice. So I'm the one who researches, purchases and uses/implements most of our sustainable practices. "
123,Female,30-39,"Franklin, TN",1,Bachelor degree,"Not employed, NOT looking for work",10+ hours,Yes,Often,"Yes, I encourage the other members of my house to be more sustainable in their actions.","My love of wildlife, the desire to keep more of nature in it's natural state, and to leave a world better than I found it for my child.","Mostly waste. Lowering my use of plastics, replacing disposable household items with reusable options. Etc.",Being spoiled by convenience. ,BCDEFGH,Often,NA,ABH,Often,NA,AC,Often,NA,BCDFG,All the time,NA,ABC,All the time,NA,"I think that my gender makes it more likely that I would be the stay-at-home parent, and therefore more likely to do the majority of household chores and maintenance. Because of this I see our household waste more closely on a daily basis and am therefore more concerned about it. "
124,Female,21-29,"Los Angeles, CA",2,Associates degree,"Not employed, NOT looking for work",7-10 hours,Yes,Sometimes,"Yes, I encourage the other members of my house to be more sustainable in their actions.",Limited income ,Waste,Upfront cost of sustainable items,BDG,All the time,NA,AEFH,Often,NA,ACD,All the time,NA,ABCDEF,All the time,NA,AB,Often,NA,NA
125,Female,21-29,"Seguin, TX",1,Bachelor degree,"Employed, working part-time",4-6 hours,Somewhat,Sometimes,"No, my partner and I are equally involved in sustainable activities",Wanting to protect the environment for future generations,"Energy, waste, and water","Lack of knowledge, and some things require a lot of extra time/work",BEG,Often,NA,AH,Often,NA,NA,Never,NA,ADE,Sometimes,NA,A,Sometimes,NA,NA
126,Female,21-29,"Roosevelt, MN ",1,High school diploma or equivalent,"Employed, working part-time",4-6 hours,Somewhat,Sometimes,"Yes, I encourage the other members of my house to be more sustainable in their actions.","Friends, blogs, money",I like to be able to grow some of our food and not throw money away with disposable products.,Getting started/making new habits OR worry that my husband will think I'm crazy.,BCDGH,Often,When it comes to buying products my husband gets them and looks for more energy efficient ones but things inside the house are more my domain.,CH,Sometimes,I have a couple buckets to catch water from the roof which I use to water the garden.,AD,Often,I try to preserve food in the summer and fall and rarely ever buy produce out of season.  ,BCDEF,Often,Getting closer on using cloth products.  I buy paper towels a lot less then I used to.,AC,Often,NA,Not really
127,Female,21-29,"Suffolk, VA",1,Some university but no degree,Student,4-6 hours,Yes,All the time,"Yes, I encourage the other members of my house to be more sustainable in their actions.",My love for the earth and I'm cheap.,"Waste, energy, and cost",Not having the funds up front to foot the big bill and ultimately save money later.,BCE,All the time,NA,A,Often,NA,AD,Often,NA,ABCDEFG,All the time,NA,ABC,Often,NA,"I do a lot of the housework, so I get the major say in the majority of these areas."
128,Female,30-39,"Conway, MO",5+,Some university but no degree,"Not employed, NOT looking for work",10+ hours,Yes,Often,"Yes, I encourage the other members of my house to be more sustainable in their actions.",Saving money,Waste (using reusable vs disposable everything),Cost. Some things cost MORE to be more sustainable.  :-(,AEG,All the time,"Honestly, for us it's about saving money on the electric bill. ",ABEG,All the time,"For us, it's about not wasting the water we have access to. ",ACD,All the time,We butcher our own meat and drink plenty of unpasteurized milk.  ,ACDEF,All the time,"Saving money, again! ",AC,All the time,NA,"I think it's more WHO is doing most of the housework decisions, than the gender of that person. I feel my husband would make similar decisions if He were the one at home trying to make a nickle out of a penny!  "
129,Female,21-29,"Dallas, TX",1,Post-graduate degree,"Employed, working full-time",1-3 hours,Yes,Often,"Yes, I encourage the other members of my house to be more sustainable in their actions.",Becoming vegan 4 years ago led me on a path of seeing what else I can do to protect our natural resources and leave the world in a better condition for my child.,"Energy, water, food, climate","Cost- not just monetary, but of my time as well. Sometimes, the sad truth is that it is just easier, more convenient or quicker not to think about recycling, or programming the lights to turn off. Also, in the case of where I live, summers are unbearably hot and the air conditioning runs non-stop for months!",BCDEFGH,Often,NA,BG,Often,NA,ABCD,All the time,NA,ACDEF,All the time,NA,AB,Often,NA,"I feel that there is this (unfair) stigma that it is somehow not manly to care about things like the environment, animals, etc. Luckily, saving energy saves money and that is a ""manly"" enough reason to get men to care. We need to do our best as a global society to eliminate this stigma. Thankfully, with millennials and gen Z, this stigma is [too] slowly going away."
130,Female,21-29,"Florence, AL",2,Bachelor degree,"Employed, working part-time",10+ hours,Yes,Often,"Yes, I encourage the other members of my house to be more sustainable in their actions.",Cloth diapering,Food and waste,Grocery store packaging. ,BDEGH,Often,NA,BCEF,Often,NA,ACD,Often,NA,BCDEF,Often,NA,ABC,Often,NA,In our home gender affects sustainability because as MOSTLY a stay at home mom I make the buying decisions and I do the washing and cleaning. My husband would just buy for convenience if I didn't go the extra mile.
131,Female,30-39,"Savannah, GA",1,Some university but no degree,"Employed, working part-time",7-10 hours,Yes,Often,"Yes, I encourage the other members of my house to be more sustainable in their actions.",Common sense in preserving the earth.,Waste,Initial cost on some quality reusable items. I am slowly replacing disposable things.,BDFG,Sometimes,My husband is big on saving energy but its more for our bill,GH,Often,NA,C,Sometimes,NA,ACDEFG,Often,NA,ABC,Sometimes,NA,NA
132,Female,30-39,"Kalamazoo, MI",3,Some university but no degree,"Not employed, NOT looking for work",7-10 hours,Yes,Often,"No, my partner and I are equally involved in sustainable activities",Having small children ,"Energy, food, water",Cost,BCDEG,All the time,NA,ABH,All the time,NA,ACD,All the time,NA,ACDEFG,All the time,NA,ABC,All the time,NA,NA
133,Female,21-29,"New Orleans, LA",1,Post-graduate degree,Student,7-10 hours,Yes,Sometimes,"No, my partner and I are equally involved in sustainable activities",It's more of a habit instilled in childhood. ,"Fuel and electricity usage, creation of trash/",Convenience. ,BCDFGH,Sometimes,NA,CH,Sometimes,NA,CD,Sometimes,NA,ABDEF,Sometimes,NA,ABC,Sometimes,NA,"Gender does not effect sustainable practice in our home. My husband and I are equally environmentally conscious, in part out of habit, in part because we feel morally obliged, and in part because behaving sustainably is so often (for us) both more convenient and financially prudent. "
134,Female,21-29,IL,1,Some university but no degree,"Not employed, NOT looking for work",7-10 hours,Yes,Often,"No, my partner and I are equally involved in sustainable activities",Having a child and knowing disposable diapers don't break down in landfills ,"Waste, energy, water",Money,BCDEGH,Often,NA,AF,Often,NA,CD,Often,NA,AEF,Often,NA,A,Often,NA,NA
135,Female,21-29,"Larned, KS",1,High school diploma or equivalent,"Not employed, NOT looking for work",7-10 hours,Yes,Often,"Yes, I encourage the other members of my house to be more sustainable in their actions.",Seeing how much trash goes into the landfill,Waste,Lack of recycling facilities in my direct proximity ,BDFG,All the time,"Using power strips, turning stuff off, lowering the thermostat",ABCE,Often,We use a rain barrel barrel and I tell everyone about it.  Same for my fixtures.,D,Rarely,NA,CDF,All the time,"I always take my friends yard saling and to thrift stores, encourage them to use cloth diapers ",NA,Never,NA,"My husband sucks at it, hates I collect what little recyclables I do.   He's on board for the diapers tho"
136,Female,30-39," Flagstaff, AZ",3,Bachelor degree,"Employed, working part-time",10+ hours,Yes,All the time,"No, my partner and I are equally involved in sustainable activities",Raised with the concept,"food and water, then energy and waste reduction","Sometimes more environmentally friendly products are not very efficient (shampoo, cloth items). So, even if they are sustainable in the sense that you can repetitively use it without damaging the earth or yourself, it doesn't necessarily perform the function you need and you either use much more then conventional products or simply don't reach the goal at all. ",BCFGH,All the time,A lot is due to financial responsibility. We just can't afford higher energy bills. ,ADG,Often,NA,C,All the time," Often I cook large meals because we make everything from scratch. Otherwise I'd be cooking 8 hours everyday. But did waste is very minimal, and much is either composted or used. We reduce dairy because my husband is allergic and one ou'd or children is slowing similar signs. I think that it's more important to discuss on the source of your meat and dairy products, then to cut it out of the diet.",BDEFG,All the time,NA,ABC,All the time,NA,"We cover reach other's gaps. I focus more on things that I care about, like food, where my partner is more concerned with water and energy. It may not be gender related, but personality. It's good to have a partner that balances you. "
